,Type,PRECIPITATION_MA,TEMPERATURE_MA
1015,1,3.84,42.0
1016,1,9.61,40.8
1017,1,0.23,66.3
1018,1,4.1,40.4
1019,1,0.06,66.4
1020,1,0.81,44.4
1021,1,0.56,66.7
1022,1,0.08,67.3
1023,1,9.75,39.2
1024,1,10.15,37.4
1025,1,0.77,69.6
1026,1,10.63,42.2
1027,1,0.01,66.6
1028,1,1.12,41.0
1029,1,1.45,66.4
1030,1,13.49,37.3
1031,1,0.78,63.3
1036,1,2.71,60.0
1037,1,0.15,41.2
1056,7,1.59,48.4
1057,7,0.05,87.0
1058,7,0.0,80.9
1059,7,0.24,49.2
1060,7,0.01,81.7
1061,7,2.21,46.9
1062,7,0.86,48.9
1063,7,0.0,83.5
1064,7,0.0,85.1
1065,7,0.0,53.0
1066,7,0.03,86.5
1067,7,2.1,48.2
1068,7,0.06,85.1
1069,7,0.27,46.1
1070,7,0.0,83.4
1071,7,1.43,49.3
1072,7,0.13,48.4
1073,7,0.0,84.7
1074,7,1.14,47.9
1075,7,0.0,82.4
1080,7,0.0,79.0
1081,7,0.47,45.6
1100,14,3.43,51.4
1101,14,0.01,74.5
1102,14,0.94,53.4
1103,14,0.11,70.4
1104,14,0.06,70.3
1105,14,3.75,51.8
1106,14,0.0,71.8
1107,14,2.27,53.2
1108,14,0.04,57.2
1109,14,0.01,73.7
1110,14,0.0,75.0
1111,14,4.2,53.5
1112,14,1.57,51.0
1113,14,0.09,73.8
1114,14,0.0,71.8
1115,14,3.24,54.2
1116,14,0.0,73.1
1117,14,0.57,53.1
1118,14,2.38,51.4
1119,14,0.0,70.3
1124,14,0.95,49.8
1125,14,0.05,68.2
1144,2,0.47,66.2
1145,2,5.62,34.0
1146,2,4.14,35.5
1147,2,0.71,59.8
1148,2,5.36,35.5
1149,2,0.13,61.4
1150,2,0.34,60.6
1151,2,4.29,34.4
1152,2,0.89,62.0
1153,2,1.09,36.3
1154,2,6.44,31.6
1155,2,1.15,61.7
1156,2,11.95,33.2
1157,2,0.52,67.2
1158,2,8.5,38.4
1159,2,0.32,60.9
1160,2,0.82,61.7
1161,2,0.65,33.8
1162,2,1.44,56.2
1163,2,10.25,32.3
1168,2,1.54,34.3
1169,2,1.66,55.9
1188,2,8.0,42.3
1189,2,0.11,75.8
1190,2,0.29,71.8
1191,2,2.92,46.4
1192,2,7.24,44.6
1193,2,0.05,73.4
1194,2,5.13,44.4
1195,2,0.17,72.5
1196,2,0.47,73.5
1197,2,0.33,47.4
1198,2,7.33,42.3
1199,2,1.21,72.8
1200,2,0.33,76.9
1201,2,7.4,41.3
1202,2,15.19,46.7
1203,2,0.04,73.6
1204,2,1.17,72.6
1205,2,0.38,45.8
1206,2,0.49,68.5
1207,2,11.83,42.0
1212,2,2.0,66.4
1213,2,0.27,45.1
1232,2,0.28,69.2
1233,2,11.06,36.8
1234,2,0.49,64.3
1235,2,4.92,39.8
1236,2,10.96,39.6
1237,2,0.13,65.0
1238,2,5.68,39.2
1239,2,0.14,64.3
1240,2,1.04,65.5
1241,2,0.87,38.6
1242,2,0.89,65.3
1243,2,10.07,36.0
1244,2,18.03,37.1
1245,2,0.58,70.3
1246,2,0.13,65.2
1247,2,15.28,42.6
1248,2,0.89,36.9
1249,2,1.08,65.1
1250,2,18.44,36.9
1251,2,0.89,60.0
1256,2,1.29,37.3
1257,2,2.76,60.1
1276,8,0.0,71.9
1277,8,8.17,39.5
1278,8,0.04,66.3
1279,8,1.37,41.6
1280,8,4.05,40.2
1281,8,0.14,67.5
1282,8,0.0,67.6
1283,8,1.2,40.6
1284,8,0.14,68.7
1285,8,0.11,44.0
1286,8,0.15,69.9
1287,8,4.65,39.6
1288,8,3.34,37.5
1289,8,0.09,70.3
1290,8,0.0,68.7
1291,8,4.71,42.4
1292,8,0.0,69.0
1293,8,0.6,40.8
1294,8,0.04,65.7
1295,8,4.78,39.7
1300,8,0.59,62.8
1301,8,0.13,38.5
1320,7,0.0,75.4
1321,7,6.98,45.8
1322,7,0.0,74.7
1323,7,1.53,49.1
1324,7,0.0,75.6
1325,7,6.75,49.6
1326,7,2.43,48.6
1327,7,0.0,73.7
1328,7,0.29,75.2
1329,7,0.09,49.1
1330,7,0.01,75.7
1331,7,3.7,46.2
1332,7,2.21,47.0
1333,7,0.04,76.5
1334,7,9.6,52.1
1335,7,0.0,75.2
1336,7,0.39,46.8
1337,7,0.36,74.2
1338,7,0.03,72.5
1339,7,7.59,47.1
1344,7,0.27,46.9
1345,7,0.95,69.8
1364,2,13.22,31.3
1365,2,0.65,61.0
1366,2,0.66,54.4
1367,2,2.98,33.6
1368,2,7.81,31.9
1369,2,0.55,54.3
1370,2,2.71,31.7
1371,2,0.02,57.2
1372,2,0.61,36.9
1373,2,0.7,56.5
1374,2,6.71,31.6
1375,2,0.05,58.3
1376,2,7.97,29.0
1377,2,1.0,59.3
1378,2,4.44,33.3
1379,2,0.1,56.6
1380,2,1.6,31.5
1381,2,0.38,57.2
1382,2,0.6,54.4
1383,2,12.74,26.0
1388,2,3.42,50.0
1389,2,0.04,31.2
1408,1,15.81,40.0
1409,1,0.08,70.3
1410,1,3.96,43.2
1411,1,0.27,65.1
1412,1,0.18,66.1
1413,1,9.18,41.2
1414,1,3.97,41.1
1415,1,0.02,66.5
1416,1,0.87,45.4
1417,1,0.56,66.9
1418,1,0.03,67.6
1419,1,8.23,40.1
1420,1,0.85,69.7
1421,1,10.41,38.2
1422,1,0.02,66.6
1423,1,8.98,42.3
1424,1,1.21,66.6
1425,1,1.25,41.8
1426,1,13.83,37.7
1427,1,0.78,63.2
1432,1,2.82,59.4
1433,1,0.1,41.5
1452,8,0.08,73.0
1453,8,7.66,41.7
1454,8,0.11,68.4
1455,8,1.62,43.1
1456,8,0.12,69.4
1457,8,3.36,43.4
1458,8,1.44,43.1
1459,8,0.0,69.3
1460,8,0.16,44.8
1461,8,0.14,70.3
1462,8,4.61,41.5
1463,8,0.23,71.3
1464,8,0.14,72.8
1465,8,4.37,39.3
1466,8,0.02,69.9
1467,8,4.05,45.0
1468,8,0.05,70.7
1469,8,0.71,41.5
1470,8,0.22,67.3
1471,8,6.6,41.0
1476,8,1.2,63.7
1477,8,0.03,40.2
1496,2,0.16,65.2
1497,2,12.38,32.4
1498,2,0.35,59.6
1499,2,3.92,33.9
1500,2,0.5,60.3
1501,2,8.06,34.1
1502,2,4.63,34.0
1503,2,0.33,60.2
1504,2,0.61,61.6
1505,2,0.89,34.5
1506,2,8.39,31.9
1507,2,0.62,61.0
1508,2,8.19,31.9
1509,2,0.65,64.7
1510,2,0.02,60.8
1511,2,12.81,36.4
1512,2,0.59,30.3
1513,2,0.94,61.1
1514,2,0.8,57.3
1515,2,14.05,32.0
1520,2,0.23,34.0
1521,2,3.48,55.6
1540,8,0.0,75.3
1541,8,4.78,45.5
1542,8,1.64,50.0
1543,8,0.0,75.0
1544,8,0.0,75.4
1545,8,3.25,51.1
1546,8,2.22,49.7
1547,8,0.0,74.2
1548,8,0.11,48.8
1549,8,0.06,75.4
1550,8,0.0,75.2
1551,8,2.31,46.6
1552,8,0.1,75.8
1553,8,2.22,47.3
1554,8,6.17,52.7
1555,8,0.01,73.7
1556,8,0.12,73.9
1557,8,0.38,46.0
1558,8,0.08,71.4
1559,8,4.72,47.5
1564,8,0.61,69.3
1565,8,0.16,45.9
1584,11,0.01,71.0
1585,11,6.37,48.5
1586,11,0.01,68.2
1587,11,1.29,50.3
1588,11,0.01,68.8
1589,11,4.59,50.1
1590,11,0.0,68.2
1591,11,1.13,49.4
1592,11,0.0,71.2
1593,11,0.07,52.3
1594,11,0.0,71.8
1595,11,2.75,48.5
1596,11,1.59,46.5
1597,11,0.07,70.7
1598,11,5.18,52.2
1599,11,0.0,69.4
1600,11,0.22,49.4
1601,11,0.0,69.8
1602,11,4.11,48.2
1603,11,0.0,67.0
1608,11,0.17,46.4
1609,11,0.25,65.0
1628,7,0.03,63.0
1629,7,11.62,48.9
1630,7,2.27,50.9
1631,7,0.02,63.2
1632,7,5.62,51.6
1633,7,0.03,63.9
1634,7,2.56,51.3
1635,7,0.01,61.5
1636,7,0.13,51.5
1637,7,0.09,62.4
1638,7,5.4,49.0
1639,7,0.01,62.9
1640,7,0.19,62.8
1641,7,5.94,48.6
1642,7,0.01,61.8
1643,7,13.88,54.6
1644,7,0.56,49.2
1645,7,0.17,62.4
1646,7,9.35,49.9
1647,7,0.25,60.4
1652,7,1.07,59.2
1653,7,0.24,48.5
1672,8,0.0,75.1
1673,8,5.21,45.7
1674,8,0.01,73.9
1675,8,1.46,47.3
1676,8,0.0,74.8
1677,8,4.03,49.8
1678,8,2.03,49.4
1679,8,0.0,73.6
1680,8,0.07,48.8
1681,8,0.02,75.1
1682,8,2.28,46.7
1683,8,0.0,75.7
1684,8,2.47,45.6
1685,8,0.02,75.9
1686,8,0.0,73.8
1687,8,6.24,51.2
1688,8,0.33,46.0
1689,8,0.06,74.2
1690,8,0.09,71.3
1691,8,4.37,46.6
1696,8,0.12,44.9
1697,8,0.5,69.2
1716,2,0.68,66.8
1717,2,13.76,36.5
1718,2,0.27,61.0
1719,2,3.64,39.8
1720,2,8.76,37.6
1721,2,0.28,61.9
1722,2,0.0,63.0
1723,2,2.67,38.0
1724,2,0.43,43.0
1725,2,0.42,63.3
1726,2,8.33,37.3
1727,2,0.2,64.3
1728,2,0.71,65.7
1729,2,8.66,34.2
1730,2,0.1,63.3
1731,2,6.04,39.2
1732,2,0.39,63.3
1733,2,1.46,37.7
1734,2,14.8,33.6
1735,2,0.73,60.3
1740,2,3.06,56.2
1741,2,0.05,36.9
1760,8,0.01,77.9
1761,8,6.03,45.0
1762,8,0.02,75.2
1763,8,1.8,49.1
1764,8,0.0,76.2
1765,8,7.04,46.9
1766,8,0.0,74.8
1767,8,2.94,47.0
1768,8,0.63,76.0
1769,8,0.04,49.3
1770,8,3.98,44.8
1771,8,0.13,75.2
1772,8,0.02,78.0
1773,8,3.15,45.6
1774,8,0.01,76.5
1775,8,12.3,50.6
1776,8,0.45,74.6
1777,8,0.41,46.0
1778,8,0.11,72.0
1779,8,8.38,45.5
1784,8,1.52,70.6
1785,8,0.17,45.9
1804,2,0.01,82.1
1805,2,1.74,42.1
1806,2,0.07,75.8
1807,2,0.26,43.9
1808,2,1.22,41.2
1809,2,0.04,76.5
1810,2,0.0,79.2
1811,2,0.37,43.1
1812,2,0.01,79.6
1813,2,0.01,46.4
1814,2,0.87,42.4
1815,2,0.27,81.2
1816,2,0.1,79.9
1817,2,0.1,39.8
1818,2,1.34,43.9
1819,2,0.0,78.6
1820,2,0.0,80.2
1821,2,0.08,43.0
1822,2,0.0,77.3
1823,2,0.51,42.2
1828,2,0.03,73.4
1829,2,0.09,41.5
1848,7,0.0,70.0
1849,7,4.55,54.5
1850,7,0.05,69.2
1851,7,1.26,59.0
1852,7,4.23,55.9
1853,7,0.02,67.8
1854,7,0.0,68.7
1855,7,2.57,57.6
1856,7,0.04,62.0
1857,7,0.0,70.3
1858,7,0.02,71.4
1859,7,4.35,57.1
1860,7,0.79,55.9
1861,7,0.02,71.1
1862,7,0.0,69.1
1863,7,3.47,57.8
1864,7,0.01,69.2
1865,7,0.42,58.1
1866,7,0.0,67.6
1867,7,2.26,55.2
1872,7,0.1,66.2
1873,7,0.56,54.8
1892,14,6.59,46.1
1893,14,0.0,75.4
1894,14,0.01,75.4
1895,14,1.5,48.9
1896,14,4.2,50.2
1897,14,0.01,75.4
1898,14,0.0,74.2
1899,14,2.43,49.2
1900,14,0.16,49.3
1901,14,0.19,75.6
1902,14,3.23,46.2
1903,14,0.0,76.0
1904,14,0.1,77.1
1905,14,2.22,47.0
1906,14,0.0,75.1
1907,14,7.61,52.5
1908,14,0.39,46.6
1909,14,0.27,74.6
1910,14,0.06,72.0
1911,14,6.06,47.4
1916,14,0.94,69.4
1917,14,0.16,46.8
1936,8,6.33,46.1
1937,8,0.0,71.8
1938,8,0.0,69.0
1939,8,1.04,48.1
1940,8,6.58,47.5
1941,8,0.03,69.8
1942,8,2.2,47.4
1943,8,0.0,68.9
1944,8,0.03,70.7
1945,8,0.1,50.5
1946,8,1.89,46.2
1947,8,0.0,72.0
1948,8,2.53,44.2
1949,8,0.02,71.7
1950,8,6.33,50.0
1951,8,0.0,70.0
1952,8,0.01,70.3
1953,8,0.3,47.4
1954,8,4.55,44.7
1955,8,0.09,67.1
1960,8,0.33,65.6
1961,8,0.21,44.8
1980,7,7.23,49.6
1981,7,0.0,67.9
1982,7,1.84,52.1
1983,7,0.02,65.5
1984,7,4.97,50.4
1985,7,0.01,65.3
1986,7,1.17,51.0
1987,7,0.01,64.9
1988,7,0.02,53.6
1989,7,0.0,66.9
1990,7,0.0,67.6
1991,7,3.31,49.8
1992,7,0.21,66.4
1993,7,1.03,49.0
1994,7,0.0,65.8
1995,7,5.61,52.7
1996,7,0.01,65.4
1997,7,0.2,50.9
1998,7,3.02,48.8
1999,7,0.0,63.4
2004,7,0.27,61.7
2005,7,0.38,48.3
2024,7,0.0,68.9
2025,7,10.31,46.8
2026,7,1.66,49.7
2027,7,0.03,65.4
2028,7,6.5,48.1
2029,7,0.04,64.9
2030,7,2.47,48.8
2031,7,0.01,64.8
2032,7,0.01,67.7
2033,7,0.01,52.8
2034,7,4.65,48.6
2035,7,0.0,68.2
2036,7,0.19,67.6
2037,7,0.78,47.6
2038,7,0.0,66.3
2039,7,6.46,50.3
2040,7,0.02,67.4
2041,7,0.37,50.6
2042,7,2.58,46.9
2043,7,0.0,64.4
2048,7,0.18,61.7
2049,7,0.52,46.6
2068,8,5.51,44.1
2069,8,0.07,77.1
2070,8,1.4,48.0
2071,8,0.12,73.7
2072,8,0.0,74.7
2073,8,5.7,46.5
2074,8,2.68,45.8
2075,8,0.01,73.4
2076,8,0.17,74.5
2077,8,0.03,48.1
2078,8,0.45,73.8
2079,8,4.49,43.6
2080,8,4.1,44.1
2081,8,0.07,77.2
2082,8,0.0,74.7
2083,8,13.73,49.2
2084,8,0.4,73.7
2085,8,0.21,45.5
2086,8,8.09,44.6
2087,8,0.09,70.2
2092,8,1.96,68.2
2093,8,0.14,46.2
2112,8,0.26,57.9
2113,8,0.01,91.7
2114,8,0.04,56.5
2115,8,0.0,87.1
2116,8,0.0,86.8
2117,8,0.59,54.8
2118,8,0.0,88.1
2119,8,0.93,56.3
2120,8,0.0,59.4
2121,8,0.0,90.0
2122,8,1.39,56.6
2123,8,0.0,90.9
2124,8,0.06,90.2
2125,8,0.07,55.0
2126,8,0.0,89.0
2127,8,0.53,58.5
2128,8,0.04,56.8
2129,8,0.0,90.1
2130,8,0.62,57.3
2131,8,0.0,88.8
2136,8,0.49,52.9
2137,8,0.0,86.0
2156,2,0.24,67.4
2157,2,12.15,43.3
2158,2,4.44,46.3
2159,2,0.07,65.0
2160,2,0.02,66.0
2161,2,9.17,46.3
2162,2,0.1,64.0
2163,2,6.29,44.9
2164,2,0.69,45.9
2165,2,0.26,65.2
2166,2,10.19,42.4
2167,2,0.46,65.0
2168,2,17.19,43.7
2169,2,0.07,68.1
2170,2,18.24,48.4
2171,2,0.04,65.1
2172,2,1.33,64.4
2173,2,0.81,44.3
2174,2,0.26,60.9
2175,2,16.82,43.5
2180,2,1.69,60.2
2181,2,1.03,44.1
2200,7,0.0,71.7
2201,7,8.82,45.4
2202,7,2.16,49.2
2203,7,0.0,71.2
2204,7,8.67,48.5
2205,7,0.0,71.3
2206,7,3.12,48.3
2207,7,0.0,70.0
2208,7,0.11,49.1
2209,7,0.38,70.9
2210,7,5.84,45.8
